index,name,ticker,explorers,github,price,volume_24h,percent_change_24h,percent_change_30d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,repo,stargazers_count,subscribers_count,forks,commits_per30d
33,Merlin Chain,MERL,https://scan.merlinchain.io/token/0x5c46bFF4B38dc1EAE09C5BAc65872a1D8bc87378,https://github.com/MerlinLayer2,0.0887018950580916,22444714.0494397,-12.96983363,-31.03994105,-79.95188741,46568494.90549811,0.0,186273979.62,2025-03-04T00:39:00.000Z,MerlinLayer2/BTCLayer2BridgeContract,15,4,5,3.0
36,Xai,XAI,https://arbiscan.io/token/0x4Cb9a7AE498CEDcBb5EAe9f25736aE7d428C9D66,https://github.com/xai-foundation,0.0783242350350609,58112926.20177505,-18.23212799,-45.31024836,-79.86664404,84030571.50175904,0.003,195810587.59,2025-03-04T00:39:00.000Z,xai-foundation/sentry,52,7,43,3.0
37,PancakeSwap,CAKE,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,https://github.com/pancakeswap,1.7246345302062531,136874491.13231364,-14.96108553,-8.61014854,-51.63181399,498710277.3269894,0.0177,776085538.59,2025-03-04T00:39:00.000Z,pancakeswap/pancake-frontend,2758,82,3612,3.0
39,ALEX Lab,ALEX,https://explorer.stacks.co/txid/0x460353087a14a6570647ef3892e3e888b2384b74b5b695c852230a49180816ea?chain=mainnet,https://github.com/alexgo-io,0.0362266280875475,749915.82639621,-12.43632423,-38.7261294,-70.63475284,21971083.22380944,0.0008,36226628.09,2025-03-04T00:39:00.000Z,alexgo-io/alex-v1,36,6,31,3.0
40,Internet Computer,ICP,https://dashboard.internetcomputer.org/,https://github.com/dfinity/ic,6.1360988212191865,130120955.45239848,-14.93882091,-29.51728526,-58.22076149,2953696118.951493,0.1047,3253625193.02,2025-03-04T00:39:00.000Z,dfinity/ic,1616,72,336,3.0
41,Liquity,LQTY,https://etherscan.io/token/0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,https://github.com/liquity/dev,0.7835732500115438,33279061.76992227,-14.08464227,-44.96617212,-55.16050451,74167669.99874067,0.0026,78357325.0,2025-03-04T00:39:00.000Z,liquity/dev,341,18,322,3.0
43,Stride,STRD,https://www.mintscan.io/stride,https://github.com/Stride-Labs/stride,0.2183997589842003,305146.54098815,-12.01829788,-42.47636179,-70.80966888,19181117.827811938,0.0,21839975.9,2025-03-04T00:39:00.000Z,Stride-Labs/stride,191,9,207,3.0
48,Renzo,REZ,https://solscan.io/token/3DK98MXPz8TRuim7rfQnebSLpA7VSoc79Bgiee1m4Zw5,https://github.com/Renzo-Protocol,0.0183439147621534,16995739.39332662,-12.87641044,-18.88698549,-70.4034669,37110515.295141086,0.0,183439147.62,2025-03-04T00:38:00.000Z,Renzo-Protocol/contracts-public,46,2,39,3.0
49,The Graph,GRT,https://solscan.io/token/HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX,https://github.com/graphprotocol,0.1085719451467855,79074884.88553791,-16.06576474,-35.70657483,-65.66645087,1036702639.2454668,0.0367,1172545165.62,2025-03-04T00:39:00.000Z,graphprotocol/graph-node,2955,90,1017,3.0
51,Suiswap,SSWP,https://suiscan.xyz/mainnet/coin/0x361dd589b98e8fcda9a7ee53b85efabef3569d00416640d2faa516e3801d7ffc::TOKEN::TOKEN,https://github.com/vividnetwork,0.0001830246055538,825865.33447511,-13.46045435,-37.33642133,-70.46286393,1618330.085997165,0.0,1830246.06,2025-03-04T00:39:00.000Z,vividnetwork/suiswap-app-site,99,13,37,3.0
53,io.net,IO,https://solscan.io/token/BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,https://github.com/ionet-official,1.1360845884602246,114860277.7045013,-17.09534316,-41.00434752,-67.25502618,164029100.33530954,0.0058,908867670.77,2025-03-04T00:39:00.000Z,ionet-official/io_launch_binaries,76,23,49,3.0
54,Optimism,OP,https://optimistic.etherscan.io/token/0x4200000000000000000000000000000000000042,https://github.com/ethereum-optimism/,0.9743104927075212,235149879.2606465,-15.6177637,-28.20734418,-62.35937611,1579070711.35022,0.056,4184631702.33,2025-03-04T00:39:00.000Z,ethereum-optimism/,Нет данных,Нет данных,Нет данных,3.0
56,Trust Wallet Token,TWT,https://solscan.io/token/HZNpqL7RT9gxf9eWoWsWzC5DfjzQ41XTQgEA7p3VzaaD,https://github.com/trustwallet,0.9797977741940536,19848977.15943586,-8.92332672,-4.28006412,-28.61317461,408232644.6381751,0.0145,979472626.34,2025-03-04T00:39:00.000Z,trustwallet/assets,4786,340,23320,3.0
57,TRON,TRX,https://tronscan.org/#/token/0/transfers,https://github.com/tronprotocol/java-tron,0.2315360633002311,895645073.9493297,-4.74876326,-5.79130675,-42.87913014,19926243900.697254,0.7062,19926239743.96,2025-03-04T00:39:00.000Z,tronprotocol/java-tron,3836,375,1440,3.0
58,SafePal,SFP,https://bscscan.com/token/0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,https://github.com/SafePalWallet,0.5808020890732624,12465781.52658996,-9.39529877,-14.90411925,-31.20288931,290401044.53663117,0.0103,290401044.54,2025-03-04T00:39:00.000Z,,,,,0.0
59,Theta Network,THETA,https://explorer.thetatoken.org/,https://github.com/thetatoken,1.0825785031783532,30653508.77539906,-16.66657406,-39.6013413,-63.61695984,1082578503.1783533,0.0384,1082578503.18,2025-03-04T00:38:00.000Z,thetatoken/theta-protocol-ledger,366,59,88,3.0
60,SushiSwap,SUSHI,https://etherscan.io/token/0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,https://github.com/sushiswap/sushiswap,0.7318378321781674,59871236.76661843,-17.60763256,-36.07294626,-49.2961609,195426915.53915697,0.0069,205417157.26,2025-03-04T00:39:00.000Z,sushiswap/sushiswap,1915,63,1550,3.0
62,OctaSpace,OCTA,https://scan.octa.space/,https://github.com/octaspace,0.4682822813786234,457018.52424188,-8.19155143,-42.70146198,-73.64776119,16541760.181982756,0.0,22477549.51,2025-03-04T00:40:00.000Z,octaspace/go-octa,14,0,15,3.0
63,Polymesh,POLYX,https://polymesh.subscan.io/,https://github.com/PolymathNetwork/Polymesh,0.1480770713503812,7028278.46890533,-16.31245698,-31.45507392,-64.91827001,138464050.72930446,0.0049,168621548.36,2025-03-04T00:40:00.000Z,PolymathNetwork/Polymesh,168,31,48,3.0
67,Algorand,ALGO,https://allo.info/,https://github.com/algorand,0.2379199447106764,208975363.89803448,-19.26067056,-32.6014772,-55.36012463,2013608183.3046775,0.0714,2379199447.11,2025-03-04T00:40:00.000Z,algorand/go-algorand,1386,76,493,3.0
69,Pendle,PENDLE,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827,https://github.com/pendle-finance,2.4562571927290993,62331163.23351093,-18.88449721,-26.37597334,-61.04476759,406444129.6044208,0.0144,634809915.81,2025-03-04T00:40:00.000Z,pendle-finance/pendle-core-v2-public,123,10,55,3.0
70,Flow,FLOW,https://www.flowscan.io/,https://github.com/onflow,0.4455068724129253,39402833.87671015,-14.28106916,-26.96986883,-61.89831657,697953337.1324198,0.0247,697953337.13,2025-03-04T00:40:00.000Z,onflow/cadence,538,47,140,3.0
72,Phala Network,PHA,https://etherscan.io/token/0x6c5bA91642F10282b576d91922Ae6448C9d52f4E,https://github.com/Phala-Network,0.1339492665599823,24760091.51063614,-15.23186888,-23.16386579,-25.42541038,104831064.7770874,0.0037,133949266.56,2025-03-04T00:39:00.000Z,Phala-Network/phala-blockchain,348,36,159,3.0
73,XRP,XRP,https://livenet.xrpl.org/,https://github.com/ripple/rippled,2.393831422971916,14012803307.826063,-16.59158265,-18.13011744,-6.03148256,138721905003.0314,4.9161,239383142297.19,2025-03-04T00:40:00.000Z,ripple/rippled,4802,511,1500,3.0
74,Mina,MINA,https://minaexplorer.com/,https://github.com/MinaProtocol/mina,0.2896658402672399,35563829.02610769,-15.11788505,-32.8415307,-68.33593642,352831766.352605,0.0125,352831766.35,2025-03-04T00:41:00.000Z,MinaProtocol/mina,2032,96,552,3.0
